== TRAIN  (1041 articles, 34178 sentences) ==
article_id: raw_split2/326   sentences: 27
article_id: raw_split2/718   sentences: 30
article_id: raw_split2/32   sentences: 30
article_id: raw_split2/160   sentences: 28
article_id: raw_split2/52   sentences: 30
article_id: raw_split2/697   sentences: 29
article_id: raw_split1/426   sentences: 29
article_id: raw_split2/998   sentences: 37
article_id: raw_split2/467   sentences: 27
article_id: raw_split2/235   sentences: 33
article_id: raw_split1/69   sentences: 33
article_id: raw_split1/2675   sentences: 34
article_id: raw_split2/213   sentences: 46
article_id: raw_split2/65   sentences: 31
article_id: raw_split2/194   sentences: 54
article_id: raw_split2/979   sentences: 25
article_id: raw_split1/2537   sentences: 32
article_id: raw_split1/2133   sentences: 35
article_id: raw_split2/938   sentences: 32
article_id: raw_split2/612   sentences: 33
article_id: raw_split1/970   sentences: 35
article_id: raw_split2/777   sentences: 29
article_id: raw_split2/832   sentences: 27
article_id: raw_split2/487   sentences: 31
article_id: raw_split1/1735   sentences: 23
article_id: raw_split2/502   sentences: 30
article_id: raw_split2/817   sentences: 32
article_id: raw_split2/563   sentences: 37
article_id: raw_split1/2040   sentences: 25
article_id: raw_split1/2509   sentences: 33
article_id: raw_split1/375   sentences: 33
article_id: raw_split1/2348   sentences: 35
article_id: raw_split1/171   sentences: 25
article_id: raw_split2/852   sentences: 30
article_id: raw_split1/884   sentences: 35
article_id: raw_split2/332   sentences: 65
article_id: raw_split2/231   sentences: 27
article_id: raw_split2/854   sentences: 25
article_id: raw_split2/386   sentences: 27
article_id: raw_split2/569   sentences: 29
article_id: raw_split2/249   sentences: 56
article_id: raw_split2/498   sentences: 30
article_id: raw_split2/350   sentences: 27
article_id: raw_split2/0   sentences: 30
article_id: raw_split2/808   sentences: 30
article_id: raw_split2/253   sentences: 28
article_id: raw_split2/542   sentences: 31
article_id: raw_split2/420   sentences: 30
article_id: raw_split2/444   sentences: 34
article_id: raw_split1/2588   sentences: 31
article_id: raw_split2/940   sentences: 31
article_id: raw_split1/2409   sentences: 30
article_id: raw_split2/725   sentences: 32
article_id: raw_split2/170   sentences: 31
article_id: raw_split2/881   sentences: 31
article_id: raw_split1/2088   sentences: 35
article_id: raw_split2/841   sentences: 35
article_id: raw_split2/537   sentences: 48
article_id: raw_split2/409   sentences: 32
article_id: raw_split2/814   sentences: 23
article_id: raw_split2/342   sentences: 51
article_id: raw_split2/892   sentences: 31
article_id: raw_split2/810   sentences: 24
article_id: raw_split1/1846   sentences: 29
article_id: raw_split2/430   sentences: 32
article_id: raw_split2/90   sentences: 30
article_id: raw_split1/1507   sentences: 30
article_id: raw_split2/929   sentences: 34
article_id: raw_split2/469   sentences: 30
article_id: raw_split2/570   sentences: 28
article_id: raw_split2/104   sentences: 25
article_id: raw_split2/359   sentences: 25
article_id: raw_split2/75   sentences: 33
article_id: raw_split2/21   sentences: 34
article_id: raw_split2/412   sentences: 27
article_id: raw_split1/224   sentences: 27
article_id: raw_split2/454   sentences: 22
article_id: raw_split1/2354   sentences: 38
article_id: raw_split1/563   sentences: 37
article_id: raw_split2/823   sentences: 48
article_id: raw_split2/843   sentences: 29
article_id: raw_split2/699   sentences: 30
article_id: raw_split2/317   sentences: 51
article_id: raw_split2/541   sentences: 29
article_id: raw_split1/2565   sentences: 33
article_id: raw_split2/25   sentences: 30
article_id: raw_split2/331   sentences: 28
article_id: raw_split2/800   sentences: 28
article_id: raw_split2/267   sentences: 36
article_id: raw_split1/919   sentences: 32
article_id: raw_split2/151   sentences: 24
article_id: raw_split2/474   sentences: 33
article_id: raw_split2/286   sentences: 56
article_id: raw_split2/770   sentences: 35
article_id: raw_split2/764   sentences: 30
article_id: raw_split2/597   sentences: 56
article_id: raw_split2/496   sentences: 28
article_id: raw_split1/1526   sentences: 31
article_id: raw_split2/419   sentences: 90
article_id: raw_split2/928   sentences: 30
article_id: raw_split2/559   sentences: 28
article_id: raw_split2/948   sentences: 55
article_id: raw_split2/294   sentences: 32
article_id: raw_split1/2496   sentences: 28
article_id: raw_split1/2408   sentences: 34
article_id: raw_split2/902   sentences: 27
article_id: raw_split2/218   sentences: 55
article_id: raw_split2/532   sentences: 32
article_id: raw_split1/2392   sentences: 21
article_id: raw_split2/765   sentences: 26
article_id: raw_split1/105   sentences: 33
article_id: raw_split2/401   sentences: 29
article_id: raw_split1/1783   sentences: 29
article_id: raw_split1/1528   sentences: 34
article_id: raw_split2/165   sentences: 36
article_id: raw_split1/2334   sentences: 32
article_id: raw_split2/853   sentences: 29
article_id: raw_split2/403   sentences: 30
article_id: raw_split2/724   sentences: 31
article_id: raw_split2/117   sentences: 27
article_id: raw_split1/443   sentences: 28
article_id: raw_split2/366   sentences: 26
article_id: raw_split2/593   sentences: 30
article_id: raw_split1/679   sentences: 33
article_id: raw_split2/702   sentences: 52
article_id: raw_split2/951   sentences: 22
article_id: raw_split2/425   sentences: 24
article_id: raw_split2/311   sentences: 27
article_id: raw_split2/164   sentences: 25
article_id: raw_split1/866   sentences: 35
article_id: raw_split2/614   sentences: 28
article_id: raw_split2/178   sentences: 30
article_id: raw_split2/708   sentences: 33
article_id: raw_split2/750   sentences: 24
article_id: raw_split1/139   sentences: 35
article_id: raw_split2/679   sentences: 32
article_id: raw_split2/519   sentences: 49
article_id: raw_split2/410   sentences: 33
article_id: raw_split1/411   sentences: 32
article_id: raw_split2/197   sentences: 28
article_id: raw_split2/685   sentences: 27
article_id: raw_split2/11   sentences: 30
article_id: raw_split1/647   sentences: 35
article_id: raw_split2/993   sentences: 29
article_id: raw_split2/622   sentences: 36
article_id: raw_split1/629   sentences: 32
article_id: raw_split2/193   sentences: 25
article_id: raw_split2/964   sentences: 27
article_id: raw_split1/1827   sentences: 41
article_id: raw_split2/781   sentences: 27
article_id: raw_split2/866   sentences: 31
article_id: raw_split2/76   sentences: 31
article_id: raw_split2/897   sentences: 55
article_id: raw_split2/220   sentences: 33
article_id: raw_split1/2335   sentences: 34
article_id: raw_split2/379   sentences: 27
article_id: raw_split2/971   sentences: 34
article_id: raw_split2/548   sentences: 64
article_id: raw_split2/362   sentences: 57
article_id: raw_split2/518   sentences: 28
article_id: raw_split1/104   sentences: 36
article_id: raw_split2/986   sentences: 29
article_id: raw_split2/861   sentences: 30
article_id: raw_split2/716   sentences: 29
article_id: raw_split1/1653   sentences: 32
article_id: raw_split1/1295   sentences: 26
article_id: raw_split2/280   sentences: 32
article_id: raw_split2/14   sentences: 36
article_id: raw_split2/236   sentences: 29
article_id: raw_split2/575   sentences: 29
article_id: raw_split2/347   sentences: 25
article_id: raw_split2/269   sentences: 30
article_id: raw_split2/16   sentences: 32
article_id: raw_split1/513   sentences: 33
article_id: raw_split1/494   sentences: 32
article_id: raw_split2/364   sentences: 30
article_id: raw_split1/2511   sentences: 31
article_id: raw_split2/655   sentences: 33
article_id: raw_split2/85   sentences: 35
article_id: raw_split1/1715   sentences: 32
article_id: raw_split2/683   sentences: 30
article_id: raw_split2/773   sentences: 55
article_id: raw_split2/106   sentences: 82
article_id: raw_split2/871   sentences: 29
article_id: raw_split2/552   sentences: 23
article_id: raw_split2/850   sentences: 28
article_id: raw_split1/748   sentences: 35
article_id: raw_split2/880   sentences: 25
article_id: raw_split1/376   sentences: 28
article_id: raw_split2/615   sentences: 32
article_id: raw_split2/480   sentences: 31
article_id: raw_split2/263   sentences: 57
article_id: raw_split2/556   sentences: 29
article_id: raw_split2/53   sentences: 30
article_id: raw_split2/863   sentences: 23
article_id: raw_split1/2617   sentences: 28
article_id: raw_split1/1780   sentences: 33
article_id: raw_split2/482   sentences: 34
article_id: raw_split2/60   sentences: 31
article_id: raw_split1/2580   sentences: 25
article_id: raw_split2/670   sentences: 32
article_id: raw_split2/879   sentences: 25
article_id: raw_split2/510   sentences: 29
article_id: raw_split2/815   sentences: 32
article_id: raw_split2/282   sentences: 30
article_id: raw_split2/555   sentences: 32
article_id: raw_split2/602   sentences: 30
article_id: raw_split2/460   sentences: 31
article_id: raw_split2/543   sentences: 81
article_id: raw_split2/921   sentences: 29
article_id: raw_split2/675   sentences: 26
article_id: raw_split2/989   sentences: 48
article_id: raw_split1/2616   sentences: 27
article_id: raw_split2/956   sentences: 31
article_id: raw_split2/632   sentences: 30
article_id: raw_split2/380   sentences: 58
article_id: raw_split2/768   sentences: 32
article_id: raw_split2/544   sentences: 54
article_id: raw_split2/40   sentences: 24
article_id: raw_split2/804   sentences: 67
article_id: raw_split1/222   sentences: 31
article_id: raw_split2/745   sentences: 27
article_id: raw_split2/943   sentences: 51
article_id: raw_split2/691   sentences: 27
article_id: raw_split1/2421   sentences: 32
article_id: raw_split2/671   sentences: 31
article_id: raw_split2/875   sentences: 34
article_id: raw_split2/606   sentences: 68
article_id: raw_split1/1261   sentences: 39
article_id: raw_split2/166   sentences: 33
article_id: raw_split2/780   sentences: 62
article_id: raw_split2/688   sentences: 32
article_id: raw_split2/965   sentences: 25
article_id: raw_split1/731   sentences: 30
article_id: raw_split2/355   sentences: 31
article_id: raw_split2/751   sentences: 28
article_id: raw_split2/203   sentences: 25
article_id: raw_split2/314   sentences: 40
article_id: raw_split2/648   sentences: 27
article_id: raw_split2/613   sentences: 23
article_id: raw_split2/635   sentences: 26
article_id: raw_split2/672   sentences: 32
article_id: raw_split1/1738   sentences: 31
article_id: raw_split2/860   sentences: 29
article_id: raw_split1/1357   sentences: 27
article_id: raw_split1/902   sentences: 30
article_id: raw_split1/2650   sentences: 26
article_id: raw_split2/665   sentences: 30
article_id: raw_split2/772   sentences: 35
article_id: raw_split1/18   sentences: 35
article_id: raw_split1/2200   sentences: 27
article_id: raw_split2/125   sentences: 32
article_id: raw_split2/833   sentences: 30
article_id: raw_split2/191   sentences: 34
article_id: raw_split2/223   sentences: 26
article_id: raw_split2/786   sentences: 29
article_id: raw_split1/1757   sentences: 21
article_id: raw_split1/987   sentences: 31
article_id: raw_split2/435   sentences: 30
article_id: raw_split1/359   sentences: 32
article_id: raw_split2/630   sentences: 21
article_id: raw_split2/407   sentences: 29
article_id: raw_split2/112   sentences: 26
article_id: raw_split2/363   sentences: 31
article_id: raw_split2/13   sentences: 30
article_id: raw_split2/837   sentences: 28
article_id: raw_split2/501   sentences: 27
article_id: raw_split2/230   sentences: 32
article_id: raw_split2/296   sentences: 31
article_id: raw_split2/206   sentences: 34
article_id: raw_split2/529   sentences: 25
article_id: raw_split2/701   sentences: 56
article_id: raw_split2/434   sentences: 38
article_id: raw_split1/477   sentences: 27
article_id: raw_split2/972   sentences: 61
article_id: raw_split1/273   sentences: 25
article_id: raw_split2/942   sentences: 31
article_id: raw_split2/550   sentences: 32
article_id: raw_split2/941   sentences: 26
article_id: raw_split2/644   sentences: 24
article_id: raw_split2/903   sentences: 25
article_id: raw_split2/686   sentences: 31
article_id: raw_split2/666   sentences: 31
article_id: raw_split2/177   sentences: 24
article_id: raw_split2/638   sentences: 46
article_id: raw_split2/169   sentences: 77
article_id: raw_split2/511   sentences: 31
article_id: raw_split1/1088   sentences: 36
article_id: raw_split2/295   sentences: 56
article_id: raw_split2/792   sentences: 29
article_id: raw_split1/917   sentences: 26
article_id: raw_split2/384   sentences: 29
article_id: raw_split2/56   sentences: 34
article_id: raw_split2/126   sentences: 74
article_id: raw_split2/93   sentences: 29
article_id: raw_split2/578   sentences: 29
article_id: raw_split2/732   sentences: 26
article_id: raw_split2/55   sentences: 30
article_id: raw_split2/696   sentences: 24
article_id: raw_split2/946   sentences: 28
article_id: raw_split1/2333   sentences: 28
article_id: raw_split2/397   sentences: 28
article_id: raw_split2/856   sentences: 58
article_id: raw_split2/457   sentences: 26
article_id: raw_split2/173   sentences: 34
article_id: raw_split2/927   sentences: 32
article_id: raw_split2/795   sentences: 34
article_id: raw_split2/536   sentences: 32
article_id: raw_split2/640   sentences: 28
article_id: raw_split2/214   sentences: 33
article_id: raw_split2/381   sentences: 35
article_id: raw_split2/241   sentences: 31
article_id: raw_split2/217   sentences: 39
article_id: raw_split2/828   sentences: 29
article_id: raw_split2/905   sentences: 30
article_id: raw_split2/735   sentences: 30
article_id: raw_split2/690   sentences: 23
article_id: raw_split2/225   sentences: 50
article_id: raw_split2/475   sentences: 28
article_id: raw_split2/147   sentences: 32
article_id: raw_split2/184   sentences: 27
article_id: raw_split1/2184   sentences: 26
article_id: raw_split1/3   sentences: 31
article_id: raw_split2/285   sentences: 27
article_id: raw_split2/973   sentences: 50
article_id: raw_split2/506   sentences: 30
article_id: raw_split2/782   sentences: 31
article_id: raw_split2/116   sentences: 30
article_id: raw_split2/819   sentences: 29
article_id: raw_split2/949   sentences: 31
article_id: raw_split2/64   sentences: 27
article_id: raw_split2/793   sentences: 28
article_id: raw_split2/140   sentences: 32
article_id: raw_split2/97   sentences: 33
article_id: raw_split2/262   sentences: 27
article_id: raw_split1/714   sentences: 32
article_id: raw_split2/34   sentences: 33
article_id: raw_split2/582   sentences: 26
article_id: raw_split2/472   sentences: 25
article_id: raw_split1/205   sentences: 42
article_id: raw_split2/825   sentences: 26
article_id: raw_split2/402   sentences: 29
article_id: raw_split1/2673   sentences: 30
article_id: raw_split2/375   sentences: 31
article_id: raw_split2/73   sentences: 27
article_id: raw_split2/124   sentences: 24
article_id: raw_split2/865   sentences: 36
article_id: raw_split2/931   sentences: 27
article_id: raw_split2/757   sentences: 34
article_id: raw_split2/9   sentences: 34
article_id: raw_split2/864   sentences: 45
article_id: raw_split2/592   sentences: 35
article_id: raw_split1/274   sentences: 29
article_id: raw_split2/629   sentences: 36
article_id: raw_split2/312   sentences: 79
article_id: raw_split2/662   sentences: 29
article_id: raw_split1/749   sentences: 30
article_id: raw_split2/859   sentences: 29
article_id: raw_split1/1584   sentences: 29
article_id: raw_split2/923   sentences: 32
article_id: raw_split1/1679   sentences: 30
article_id: raw_split2/520   sentences: 32
article_id: raw_split2/389   sentences: 33
article_id: raw_split2/639   sentences: 23
article_id: raw_split2/803   sentences: 27
article_id: raw_split2/57   sentences: 25
article_id: raw_split2/421   sentences: 27
article_id: raw_split1/2042   sentences: 29
article_id: raw_split1/1619   sentences: 30
article_id: raw_split2/594   sentences: 28
article_id: raw_split2/878   sentences: 30
article_id: raw_split2/51   sentences: 31
article_id: raw_split2/247   sentences: 25
article_id: raw_split2/149   sentences: 30
article_id: raw_split2/692   sentences: 23
article_id: raw_split2/893   sentences: 59
article_id: raw_split1/951   sentences: 37
article_id: raw_split1/155   sentences: 24
article_id: raw_split2/404   sentences: 33
article_id: raw_split2/289   sentences: 25
article_id: raw_split2/590   sentences: 25
article_id: raw_split2/583   sentences: 26
article_id: raw_split2/428   sentences: 35
article_id: raw_split2/571   sentences: 31
article_id: raw_split2/581   sentences: 28
article_id: raw_split2/305   sentences: 26
article_id: raw_split1/2524   sentences: 28
article_id: raw_split1/968   sentences: 35
article_id: raw_split2/358   sentences: 29
article_id: raw_split1/545   sentences: 25
article_id: raw_split2/743   sentences: 28
article_id: raw_split2/588   sentences: 34
article_id: raw_split1/1210   sentences: 31
article_id: raw_split1/120   sentences: 29
article_id: raw_split1/1531   sentences: 37
article_id: raw_split2/824   sentences: 30
article_id: raw_split2/215   sentences: 24
article_id: raw_split2/573   sentences: 25
article_id: raw_split2/802   sentences: 24
article_id: raw_split2/504   sentences: 32
article_id: raw_split2/654   sentences: 35
article_id: raw_split1/37   sentences: 36
article_id: raw_split2/208   sentences: 31
article_id: raw_split2/477   sentences: 32
article_id: raw_split2/129   sentences: 29
article_id: raw_split2/346   sentences: 28
article_id: raw_split2/255   sentences: 30
article_id: raw_split1/427   sentences: 32
article_id: raw_split2/919   sentences: 32
article_id: raw_split2/779   sentences: 27
article_id: raw_split2/980   sentences: 29
article_id: raw_split2/868   sentences: 29
article_id: raw_split1/1787   sentences: 33
article_id: raw_split2/915   sentences: 29
article_id: raw_split2/392   sentences: 30
article_id: raw_split1/681   sentences: 32
article_id: raw_split2/80   sentences: 30
article_id: raw_split2/83   sentences: 29
article_id: raw_split2/43   sentences: 31
article_id: raw_split2/232   sentences: 27
article_id: raw_split1/1159   sentences: 23
article_id: raw_split2/200   sentences: 29
article_id: raw_split1/223   sentences: 21
article_id: raw_split2/224   sentences: 28
article_id: raw_split2/500   sentences: 31
article_id: raw_split1/1524   sentences: 31
article_id: raw_split2/769   sentences: 28
article_id: raw_split2/246   sentences: 28
article_id: raw_split2/328   sentences: 28
article_id: raw_split2/337   sentences: 30
article_id: raw_split2/985   sentences: 26
article_id: raw_split2/987   sentences: 28
article_id: raw_split2/883   sentences: 29
article_id: raw_split2/621   sentences: 33
article_id: raw_split1/2538   sentences: 31
article_id: raw_split1/173   sentences: 24
article_id: raw_split2/462   sentences: 27
article_id: raw_split1/1229   sentences: 33
article_id: raw_split2/108   sentences: 27
article_id: raw_split2/534   sentences: 25
article_id: raw_split1/732   sentences: 25
article_id: raw_split1/188   sentences: 31
article_id: raw_split2/49   sentences: 33
article_id: raw_split2/478   sentences: 31
article_id: raw_split2/855   sentences: 28
article_id: raw_split2/805   sentences: 29
article_id: raw_split1/986   sentences: 32
article_id: raw_split1/2437   sentences: 30
article_id: raw_split2/869   sentences: 28
article_id: raw_split2/227   sentences: 23
article_id: raw_split2/659   sentences: 29
article_id: raw_split2/836   sentences: 30
article_id: raw_split2/741   sentences: 61
article_id: raw_split2/190   sentences: 55
article_id: raw_split2/3   sentences: 29
article_id: raw_split2/788   sentences: 35
article_id: raw_split2/365   sentences: 31
article_id: raw_split2/335   sentences: 41
article_id: raw_split1/680   sentences: 25
article_id: raw_split2/156   sentences: 32
article_id: raw_split2/133   sentences: 32
article_id: raw_split1/86   sentences: 28
article_id: raw_split2/490   sentences: 35
article_id: raw_split1/1623   sentences: 32
article_id: raw_split1/2218   sentences: 30
article_id: raw_split1/2016   sentences: 28
article_id: raw_split2/521   sentences: 36
article_id: raw_split2/150   sentences: 38
article_id: raw_split1/1212   sentences: 29
article_id: raw_split2/545   sentences: 33
article_id: raw_split2/293   sentences: 35
article_id: raw_split2/372   sentences: 27
article_id: raw_split1/1509   sentences: 32
article_id: raw_split2/616   sentences: 26
article_id: raw_split2/508   sentences: 29
article_id: raw_split1/240   sentences: 32
article_id: raw_split2/620   sentences: 33
article_id: raw_split2/38   sentences: 25
article_id: raw_split2/99   sentences: 51
article_id: raw_split2/766   sentences: 32
article_id: raw_split2/742   sentences: 25
article_id: raw_split2/183   sentences: 35
article_id: raw_split1/71   sentences: 35
article_id: raw_split2/641   sentences: 58
article_id: raw_split2/755   sentences: 35
article_id: raw_split2/994   sentences: 33
article_id: raw_split2/619   sentences: 36
article_id: raw_split2/111   sentences: 27
article_id: raw_split2/933   sentences: 31
article_id: raw_split2/711   sentences: 25
article_id: raw_split2/839   sentences: 31
article_id: raw_split2/509   sentences: 27
article_id: raw_split2/155   sentences: 31
article_id: raw_split1/2167   sentences: 25
article_id: raw_split2/564   sentences: 54
article_id: raw_split1/2423   sentences: 26
article_id: raw_split2/801   sentences: 27
